Name,Type,Cat,PP,Att,Acc,OG Description
Weather Ball,Normal,Special,30,1d10,100,An attack move that varies in power and type depending on the weather.
Whirlpool,Water,Special,25,1d6,85,Traps foes in a violent swirling whirlpool for four to five turns.
Whirlwind,Normal,Other,20,--,100,"The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
Wide Guard,Rock,Other,30,--,--,"The user and its allies are protected from wide-ranging attacks for one turn. If used in succession, its chance of failing rises."
Wild Charge,Electr,Physical,25,2d8,100,The user shrouds itself in electricity and smashes into its target. It also damages the user a little.
Will-o-wisp,Fire,Other,25,--,75,"The user shoots a sinister, bluish-white flame at the target to inflict a burn."
Wing Attack,Flying,Physical,5,1d12,100,"The target is struck with large, imposing wings spread wide to inflict damage."
Wish,Normal,Other,30,--,--,"One turn after this move is used, the target's HP is restored by half the user's maximum HP."
Withdraw,Water,Other,1,--,--,"The user withdraws its body into its hard shell, raising its Defense stat."
Wonder Room,Psychc,Other,30,--,--,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.
Wood Hammer,Grass,Physical,25,2d12,100,The user slams its rugged body into the target to attack. The user also sustains serious damage.
Work Up,Normal,Other,10,--,--,"The user is roused, and its Attack and Sp. Atk stats increase."
Worry Seed,Grass,Other,30,--,100,A seed that causes worry is planted on the target. It prevents sleep by making its Ability Insomnia.
Wrap,Normal,Physical,20,1d2,90,A long body or vines are used to wrap and squeeze the target for four to five turns.
Wring Out,Normal,Special,35,--,100,"The user powerfully wrings the target. The more HP the target has, the greater this attack's power."
X-scissor,Bug,Physical,25,3d4,100,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
Yawn,Normal,Other,30,--,--,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
Zap Cannon,Electr,Special,35,2d12,50,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
Zen Headbutt,Psychc,Physical,25,3d4,90,The user focuses its willpower to its head and attacks the target. It may also make the target flinch.
